INDNO,YYYYMMDD,DlyCalDt,DlyTotRet,DlyTotInd,DlyPrcRet,DlyPrcInd,DlyIncRet,DlyIncInd,DlyUsdCnt,DlyUsdVal,DlyTotCnt,DlyTotVal,DlyEligCnt,DlyWgtAmt,INDFAM,IndFamType,IndNm,IndBegDt,IndEndDt,BaseLvl,BaseDt,FreqAvail,WeightType,CntValType,PortNum
1000511,20190221,2019-02-21,-0.003797,31635.47,-0.003986,8610.19,0.000189,367.51,505,24224540909,505,24138991585,505,505,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,20021111,2002-11-11,-0.023565,4783.28,-0.023565,1784.19,0.000000,268.11,500,8155512083,500,7985526750,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19700604,1970-06-04,-0.011799,60.96,-0.012260,66.16,0.000460,92.13,499,388544067,499,382833086,500,499,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19780714,1978-07-14,0.010737,146.25,0.010677,114.58,0.000061,127.63,499,604507138,499,612945979,500,499,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19940926,1994-09-26,0.000326,2038.37,0.000027,882.79,0.000299,230.91,500,3276667970,500,3284187056,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19620308,1962-03-08,0.005940,32.75,0.005903,46.87,0.000037,69.88,498,308588453,499,311286423,500,498,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,20101230,2010-12-30,-0.000678,12186.75,-0.000728,3913.55,0.000050,311.44,500,11716643474,500,11699236984,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19460821,1946-08-21,-0.010019,4.36,-0.010019,13.62,0.000000,32.00,90,26230303,90,25981819,90,90,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19740625,1974-06-25,0.010936,75.23,0.010872,70.88,0.000064,106.13,500,473623132,500,480580399,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19500401,1950-04-01,0.006069,5.10,0.006069,12.96,0.000000,39.40,90,25399292,90,25482145,90,90,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19820803,1982-08-03,-0.006184,240.36,-0.006600,153.88,0.000416,156.18,500,765321055,500,757186305,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19900907,1990-09-07,0.007312,1063.63,0.007274,513.33,0.000037,207.19,500,2099553497,500,2119218442,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19580212,1958-02-12,-0.003622,15.07,-0.003622,25.03,0.000000,60.23,496,167109231,497,166482434,499,496,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19981014,1998-10-14,0.010267,3984.60,0.010216,1588.63,0.000051,250.84,500,7795191982,500,7890496177,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19430219,1943-02-19,0.002698,1.46,0.002698,5.29,0.000000,27.57,90,15436470,90,15425858,90,90,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,20061205,2006-12-05,0.004246,10715.43,0.004219,3742.31,0.000026,286.37,500,12942009290,500,12993375876,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19660331,1966-03-31,0.002972,54.90,0.002911,68.75,0.000061,79.86,500,405959793,500,408117420,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,20150127,2015-01-27,-0.008267,22176.81,-0.008269,6566.84,0.000002,337.78,502,18833081348,502,18571313436,502,502,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19360428,1936-04-28,0.007909,0.97,0.007909,4.77,0.000000,20.37,90,19583510,90,19573890,90,90,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,20230316,2023-03-16,0.013312,47727.10,0.013192,11969.21,0.000120,398.84,503,33916535317,503,34504875097,503,503,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19480607,1948-06-07,-0.003802,4.27,-0.003802,12.15,0.000000,35.20,90,24278629,90,24205136,90,90,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000511,19760702,1976-07-02,0.005497,123.61,0.005334,105.51,0.000163,117.14,500,624730729,500,627706652,500,500,1100510,R,CRSP Equal-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
