INDNO,YYYYMMDD,DlyCalDt,DlyTotRet,DlyTotInd,DlyPrcRet,DlyPrcInd,DlyIncRet,DlyIncInd,DlyUsdCnt,DlyUsdVal,DlyTotCnt,DlyTotVal,DlyEligCnt,DlyWgtAmt,INDFAM,IndFamType,IndNm,IndBegDt,IndEndDt,BaseLvl,BaseDt,FreqAvail,WeightType,CntValType,PortNum
1000500,20251231,31/12/2025,-0.007304,25382.94,-0.007381,5704.34,0.000077,445.07,503,61207997324,503,60757056086,503,61207997324,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251230,30/12/2025,-0.001398,25569.7,-0.001402,5746.76,0.000004,445.04,503,61293905350,503,61207997324,503,61293905350,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251229,29/12/2025,-0.003518,25605.5,-0.003546,5754.83,0.000029,445.04,503,61512047163,503,61293905350,503,61512047163,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251226,26/12/2025,-0.00025,25695.89,-0.000343,5775.31,0.000093,445.02,503,61533150603,503,61512047163,503,61533150603,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251224,24/12/2025,0.003256,25702.32,0.003254,5777.29,0.000003,444.98,503,61333598784,503,61533150603,503,61333598784,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251223,23/12/2025,0.004282,25618.9,0.004279,5758.55,0.000003,444.98,503,61072260122,503,61333598784,503,61072260122,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251222,22/12/2025,0.006491,25509.66,0.006432,5734.02,0.000058,444.98,503,60681939237,503,61072260122,503,60681939237,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251219,19/12/2025,0.008942,25345.16,0.008919,5697.37,0.000022,444.95,503,59988894336,503,60523964457,503,59988894336,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251218,18/12/2025,0.008002,25120.53,0.007991,5647,0.000011,444.94,503,59513325556,503,59988894336,503,59513325556,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251217,17/12/2025,-0.011804,24921.1,-0.011823,5602.23,0.000019,444.94,503,60215194785,503,59513325556,503,60215194785,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251216,16/12/2025,-0.002194,25218.78,-0.002232,5669.26,0.000037,444.93,503,60349881064,503,60215194785,503,60349881064,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251215,15/12/2025,-0.001367,25274.24,-0.001533,5681.94,0.000166,444.91,503,60442532486,503,60349881064,503,60442532486,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251212,12/12/2025,-0.010437,25308.84,-0.010509,5690.66,0.000072,444.84,503,61084448036,503,60442532486,503,61084448036,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251211,11/12/2025,0.001642,25575.76,0.001631,5751.1,0.000012,444.81,503,60985008028,503,61084448036,503,60985008028,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251210,10/12/2025,0.006681,25533.83,0.006648,5741.74,0.000033,444.8,503,60572675961,503,60975379183,503,60572675961,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251209,09/12/2025,-0.000603,25364.38,-0.000612,5703.82,0.000009,444.79,503,60609763738,503,60572675961,503,60609763738,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251208,08/12/2025,-0.003674,25379.68,-0.003759,5707.31,0.000085,444.78,503,60838735788,503,60609763738,503,60838735788,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251205,05/12/2025,0.002162,25473.27,0.002011,5728.84,0.000151,444.75,503,60716617676,503,60838735788,503,60716617676,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000500,20251204,04/12/2025,0.001206,25418.32,0.00114,5717.34,0.000066,444.68,503,60647450228,503,60716617676,503,60647450228,1100500,R,CRSP Value-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
