INDNO,YYYYMMDD,DlyCalDt,DlyTotRet,DlyTotInd,DlyPrcRet,DlyPrcInd,DlyIncRet,DlyIncInd,DlyUsdCnt,DlyUsdVal,DlyTotCnt,DlyTotVal,DlyEligCnt,DlyWgtAmt,INDFAM,IndFamType,IndNm,IndBegDt,IndEndDt,BaseLvl,BaseDt,FreqAvail,WeightType,CntValType,PortNum
1000510,20190221,2019-02-21,-0.003445,9230.73,-0.003535,2310.82,0.000090,399.52,505,24224540909,505,24138991585,505,24224540909,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20021111,2002-11-11,-0.020847,2072.51,-0.020847,731.02,0.000000,283.53,500,8155512083,500,7985526750,500,8155512083,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19700604,1970-06-04,-0.014522,60.48,-0.014698,65.57,0.000177,92.23,499,388544067,499,382833086,500,388544067,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19780714,1978-07-14,0.013972,102.88,0.013891,81.62,0.000082,126.03,499,604507138,499,612945979,500,604507138,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19940926,1994-09-26,0.002935,934.27,0.002295,378.60,0.000640,246.77,500,3276667970,500,3284187056,500,3276667970,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19620308,1962-03-08,0.007287,41.76,0.007266,59.25,0.000022,70.49,498,308588453,499,311286423,500,308588453,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20101230,2010-12-30,-0.001459,3534.78,-0.001486,1054.07,0.000026,335.36,500,11716643474,500,11699236984,500,11716643474,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19460821,1946-08-21,-0.009473,4.92,-0.009473,15.32,0.000000,32.14,90,26230303,90,25981819,90,26230303,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19740625,1974-06-25,0.014713,78.98,0.014689,75.14,0.000023,105.11,500,473623132,500,480580399,500,473623132,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19500401,1950-04-01,0.003262,5.87,0.003262,14.67,0.000000,40.07,90,25399292,90,25482145,90,25399292,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19820803,1982-08-03,-0.009691,140.95,-0.010221,89.94,0.000529,156.70,500,765321055,500,757186305,500,765321055,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19900907,1990-09-07,0.009374,578.88,0.009368,265.25,0.000006,218.23,500,2099553497,500,2119218442,500,2099553497,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19580212,1958-02-12,-0.004225,21.10,-0.004225,34.38,0.000000,61.37,496,167109231,497,166482434,499,167109231,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19981014,1998-10-14,0.012241,2233.92,0.012226,831.70,0.000015,268.61,500,7795191982,500,7890496177,500,7795191982,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19430219,1943-02-19,-0.000687,2.46,-0.000687,9.01,0.000000,27.31,90,15436470,90,15425858,90,15436470,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20061205,2006-12-05,0.003997,3612.65,0.003969,1178.96,0.000028,306.46,500,12942009290,500,12993375876,500,12942009290,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19660331,1966-03-31,0.005377,60.37,0.005315,75.29,0.000062,80.21,500,405959793,500,408117420,500,405959793,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20150127,2015-01-27,-0.013264,6200.28,-0.013264,1692.90,0.000000,366.30,502,18833081348,502,18571313436,502,18833081348,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19360428,1936-04-28,-0.000491,2.23,-0.000491,11.96,0.000000,18.66,90,19583510,90,19573890,90,19583510,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20230316,2023-03-16,0.017518,14136.28,0.017348,3299.77,0.000171,428.48,503,33916535317,503,34504875097,503,33916535317,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19480607,1948-06-07,-0.003027,4.99,-0.003027,14.09,0.000000,35.41,90,24278629,90,24205136,90,24278629,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19760702,1976-07-02,0.004927,100.29,0.004764,87.42,0.000163,114.71,500,624730729,500,627706652,500,624730729,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19380113,1938-01-13,-0.014169,2.01,-0.014169,9.89,0.000000,20.38,90,16668810,90,16432622,90,16668810,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19800723,1980-07-23,-0.001928,143.01,-0.001931,101.76,0.000003,140.52,500,809618082,500,808070850,500,809618082,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19520128,1952-01-28,0.001327,9.51,0.001327,20.96,0.000000,45.40,90,36685148,90,36742038,90,36685148,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19840809,1984-08-09,0.023636,238.97,0.023289,138.44,0.000347,172.60,499,1164925669,499,1192226072,500,1164925669,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19880829,1988-08-29,0.010924,439.12,0.010529,216.96,0.000395,202.39,500,1783191549,500,1801966331,500,1783191549,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19560131,1956-01-31,0.008505,20.79,0.007687,37.02,0.000818,56.17,91,68234371,91,68758875,91,68234371,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19920916,1992-09-16,-0.000097,803.84,-0.000097,345.01,0.000000,233.00,500,2859199869,500,2858921877,500,2859199869,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19410607,1941-06-07,0.008207,1.96,0.008207,8.08,0.000000,24.30,90,13316037,90,13425318,90,13316037,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19961003,1996-10-03,-0.001877,1479.84,-0.001888,570.41,0.000010,259.45,500,5183315185,500,5173530784,500,5183315185,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19600224,1960-02-24,-0.003026,30.95,-0.003160,46.92,0.000134,65.98,498,239084317,500,238353980,501,239084317,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20001024,2000-10-24,0.001801,3202.28,0.001793,1162.79,0.000007,275.42,500,12100260412,500,12121958602,500,12100260412,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,19340814,1934-08-14,-0.008756,1.37,-0.009007,7.89,0.000251,17.46,90,13041091,90,12923624,90,13041091,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
1000510,20041123,2004-11-23,-0.000215,2889.85,-0.000244,979.87,0.000029,294.94,500,10810515979,500,10807878955,500,10810515979,1100510,R,CRSP Value-Weighted Portfolios of the S&P 500 Universe,1925-12-31,2025-12-31,100.00,1972-12-29,BTH,EV,BOTH,1
