INDNO,YYYYMMDD,DlyCalDt,DlyTotRet,DlyTotInd,DlyPrcRet,DlyPrcInd,DlyIncRet,DlyIncInd,DlyUsdCnt,DlyUsdVal,DlyTotCnt,DlyTotVal,DlyEligCnt,DlyWgtAmt,INDFAM,IndFamType,IndNm,IndBegDt,IndEndDt,BaseLvl,BaseDt,FreqAvail,WeightType,CntValType,PortNum
1000501,20251231,31/12/2025,-0.008544,70024.71,-0.008786,16698.07,0.000241,419.47,503,61207997324,503,60757056086,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251230,30/12/2025,-0.00159,70628.18,-0.001622,16846.08,0.000032,419.37,503,61293905350,503,61207997324,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251229,29/12/2025,-0.001822,70740.68,-0.001874,16873.45,0.000051,419.36,503,61512047163,503,61293905350,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251226,26/12/2025,0.000144,70869.83,0.000045,16905.13,0.000098,419.34,503,61533150603,503,61512047163,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251224,24/12/2025,0.003782,70859.66,0.003777,16904.36,0.000005,419.3,503,61333598784,503,61533150603,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251223,23/12/2025,-0.002323,70592.69,-0.002345,16840.76,0.000022,419.29,503,61072260122,503,61333598784,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251222,22/12/2025,0.007588,70757.05,0.007565,16880.34,0.000024,419.28,503,60681939237,503,61072260122,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251219,19/12/2025,0.00311,70224.16,0.00303,16753.6,0.000081,419.27,503,59988894336,503,60523964457,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251218,18/12/2025,0.001751,70006.4,0.001723,16702.99,0.000028,419.24,503,59513325556,503,59988894336,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251217,17/12/2025,-0.002317,69884.05,-0.00241,16674.27,0.000093,419.23,503,60215194785,503,59513325556,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251216,16/12/2025,-0.006787,70046.35,-0.006864,16714.55,0.000077,419.19,503,60349881064,503,60215194785,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251215,15/12/2025,0.000865,70524.98,0.000549,16830.08,0.000316,419.16,503,60442532486,503,60349881064,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251212,12/12/2025,-0.005548,70464.06,-0.005626,16820.84,0.000078,419.02,503,61084448036,503,60442532486,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251211,11/12/2025,0.008612,70857.16,0.008574,16916,0.000038,418.99,503,60985008028,503,61084448036,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251210,10/12/2025,0.013309,70252.14,0.013225,16772.19,0.000084,418.98,503,60572675961,503,60975379183,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251209,09/12/2025,-0.002192,69329.41,-0.002223,16553.27,0.000031,418.94,503,60609763738,503,60572675961,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251208,08/12/2025,-0.006127,69481.71,-0.006161,16590.15,0.000034,418.93,503,60838735788,503,60609763738,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251205,05/12/2025,0.001828,69910.06,0.001583,16692.99,0.000245,418.91,503,60716617676,503,60838735788,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251204,04/12/2025,0.000708,69782.5,0.000655,16666.61,0.000054,418.81,503,60647450228,503,60716617676,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251203,03/12/2025,0.007705,69733.11,0.007631,16655.71,0.000074,418.79,503,60443431852,503,60647450228,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251202,02/12/2025,-0.000666,69199.94,-0.000719,16529.58,0.000052,418.76,503,60294985301,503,60443431852,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251201,01/12/2025,-0.006432,69246.07,-0.006701,16541.46,0.000269,418.74,503,60614111368,503,60294985301,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251128,28/11/2025,0.005296,69694.34,0.005106,16653.06,0.000189,418.62,503,60354684034,503,60614111368,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251126,26/11/2025,0.006356,69327.21,0.006321,16568.46,0.000035,418.54,503,59912016652,503,60332096270,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251125,25/11/2025,0.014646,68889.38,0.014615,16464.38,0.000031,418.53,503,59361176126,503,59912016652,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251124,24/11/2025,0.003503,67894.97,0.003432,16227.22,0.000071,418.52,503,58456370807,503,59361176126,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251121,21/11/2025,0.019957,67657.97,0.019869,16171.72,0.000088,418.49,503,57908771666,503,58456370807,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251120,20/11/2025,-0.011014,66334.12,-0.011072,15856.67,0.000058,418.45,503,58806487521,503,57908771666,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251119,19/11/2025,-0.002969,67072.85,-0.00306,16034.2,0.000091,418.43,503,58579848325,503,58806487521,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251118,18/11/2025,0.00004,67272.57,-0.000049,16083.42,0.00009,418.39,503,59069346997,503,58579848325,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251117,17/11/2025,-0.013486,67269.85,-0.013657,16084.22,0.000171,418.35,503,59602502495,503,59069346997,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251114,14/11/2025,-0.00318,68189.44,-0.003466,16306.92,0.000286,418.28,503,59626343143,503,59602502495,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251113,13/11/2025,-0.011272,68406.96,-0.011365,16363.64,0.000094,418.16,503,60650184800,503,59626343143,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251112,12/11/2025,0.002386,69186.8,0.002308,16551.76,0.000078,418.12,503,60634120913,503,60650184800,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251111,11/11/2025,0.006263,69022.11,0.006263,16513.64,0,418.09,503,60503335023,503,60634120913,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251110,10/11/2025,0.004604,68592.5,0.004515,16410.86,0.000089,418.09,503,59589532179,503,60503335023,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251107,07/11/2025,0.009597,68278.14,0.009446,16337.1,0.000151,418.05,503,59523027417,503,59589532179,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251106,06/11/2025,-0.007538,67629.13,-0.007544,16184.22,0.000005,417.99,503,60202408276,503,59523027417,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
1000501,20251105,05/11/2025,0.005494,68142.82,0.005475,16307.24,0.000018,417.98,503,59976766432,503,60202408276,503,503,1100500,R,CRSP Equal-Weighted Index of the S&P 500 Universe,31/12/1925,31/12/2025,100,29/12/1972,BTH,EV,BOTH,1
