,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2022-12-20,1.0046365,1.0146745,0.9985758,1.0076737,3839.339040904045,3877.700532119274,3816.1772740864753,3850.946119737625,1.0046365,1.0146745,0.9985758,1.0076737,3835.3606802606582,3873.6822457428843,3812.2228509252536,3846.9555416311514
2022-12-21,1.0044376,1.0132335,0.99863344,1.0070549,3895.6508327150345,3929.7655003499985,3873.139895746708,3905.8021031808853,1.0044376,1.0132335,0.99863344,1.0070549,3830.2293140093443,3863.7710703301937,3808.0963664866285,3840.2101096997535
2022-12-22,0.99812233,1.0069165,0.99318266,0.9993607,3815.212830094099,3848.827648272514,3796.3314645051955,3819.946271842718,0.99812233,1.0069165,0.99318266,0.9993607,3825.0979477580304,3858.7999623615015,3806.167638784101,3829.8438626273705
2022-12-23,0.9914702,1.0002723,0.985744,0.9902537,3812.0245224356654,3845.8668445873263,3790.008244085312,3807.3471804857254,0.9914702,1.0002723,0.985744,0.9902537,3819.966581506717,3853.879305913194,3797.9043214840613,3815.2794014616547
2022-12-27,0.99517417,1.0030153,0.9903384,0.99547267,3810.770688712597,3840.79626005888,3792.2532611638308,3811.9137200713158,0.99517417,1.0030153,0.9903384,0.99547267,3814.835215255403,3844.892828336418,3796.298133412475,3815.9794009655448
2022-12-28,0.99331045,1.0008309,0.9884012,0.9928148,3757.9119663524625,3786.3634349298477,3739.3390915632244,3756.036729273796,0.99331045,1.0008309,0.9884012,0.9928148,3809.703849004089,3838.5475023437252,3790.8749304602993,3807.802768358536
2022-12-29,0.9981892,1.0089478,0.99239916,0.9996824,3842.309765701294,3883.7227772521974,3820.022223567963,3848.057570495606,0.9981892,1.0089478,0.99239916,0.9996824,3814.2071302905615,3855.3173745024847,3792.082649369622,3819.9130215752675
2022-12-30,1.0019575,1.0115342,0.9965534,1.0040202,3847.0159584879875,3883.7856147289276,3826.2668600082397,3854.935611963272,1.0019575,1.0115342,0.9965534,1.0040202,3818.7104115770344,3855.2095021745954,3798.1139498975044,3826.571705142966
2023-01-03,1.0001677,1.0080862,0.9948826,1.0015702,3824.7814133286474,3855.062778186798,3804.570283317566,3830.144759321213,1.0001677,1.0080862,0.9948826,1.0015702,3823.213692863507,3853.4827093913786,3803.010876738304,3828.574828187646
2023-01-04,1.0019375,1.0093205,0.99622154,1.0034825,3860.4351624453066,3888.8815973019596,3838.4117160606384,3866.3878176653384,1.0019375,1.0093205,0.99622154,1.0034825,3827.7169741499797,3855.9222102658086,3805.8800809045915,3833.6192071617775
